INFO 2025-09-21 21:00:15,352 autoreload Watching for file changes with StatReloader
DEBUG 2025-09-21 21:00:49,344 utils Found existing movie: Avengers: Doomsday (ID: 1003596)
DEBUG 2025-09-21 21:00:49,350 utils Found existing movie: Avengers from Hell (ID: 157421)
DEBUG 2025-09-21 21:00:49,355 utils Found existing movie: The Avengers: A Visual Journey (ID: 448368)
INFO 2025-09-21 21:00:49,387 utils Created new movie: Avengers: Race Against Time (ID: 1549589)
DEBUG 2025-09-21 21:00:49,392 utils Found existing movie: Kali: Avenging Angel (ID: 1108354)
DEBUG 2025-09-21 21:00:49,399 utils Found existing movie: LEGO Marvel Avengers: Time Twisted (ID: 940543)
DEBUG 2025-09-21 21:00:49,404 utils Found existing movie: Hassanpoulia: The Avengers of Cyprus (ID: 385411)
DEBUG 2025-09-21 21:00:49,409 utils Found existing movie: The New Adventures of the Elusive Avengers (ID: 65591)
DEBUG 2025-09-21 21:00:49,415 utils Found existing movie: Avengers: Secret Wars (ID: 1003598)
DEBUG 2025-09-21 21:00:49,420 utils Found existing movie: A Brighter Summer Day for the Lady Avengers (ID: 1353766)
INFO 2025-09-21 21:00:49,422 views Cached 20 search results for 'avengers'
INFO 2025-09-21 21:00:49,425 basehttp "GET /api/movies/search/?q=avengers HTTP/1.1" 200 10972
INFO 2025-09-21 21:00:49,617 basehttp "GET /api/docs/ HTTP/1.1" 200 1648
INFO 2025-09-21 21:00:50,527 basehttp "POST /api/auth/register/ HTTP/1.1" 201 39
INFO 2025-09-21 21:00:51,373 basehttp "POST /api/auth/login/ HTTP/1.1" 200 42
INFO 2025-09-21 21:07:26,989 views Serving trending movies from cache
INFO 2025-09-21 21:07:26,990 basehttp "GET /api/movies/trending/ HTTP/1.1" 200 11584
INFO 2025-09-21 21:07:26,997 views Serving search results for 'avengers' from cache
INFO 2025-09-21 21:07:27,000 basehttp "GET /api/movies/search/?q=avengers HTTP/1.1" 200 10972
INFO 2025-09-21 21:07:27,011 basehttp "GET /api/docs/ HTTP/1.1" 200 1648
INFO 2025-09-21 21:07:27,936 basehttp "POST /api/auth/register/ HTTP/1.1" 201 39
INFO 2025-09-21 21:07:28,872 basehttp "POST /api/auth/login/ HTTP/1.1" 200 42
INFO 2025-09-21 21:38:38,903 autoreload /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/movie_app/settings.py changed, reloading.
